(1, *, *, *, *): 86390
(1, 1, *, *, *): 71062
(1, 1, 1, *, *): 62346
(1, 1, 1, 1, *): 55217
(1, 1, 1, 1, 1): 48789
(1, 1, 1, 1, 0): 6428
(1, 1, 1, 0, *): 7129
(1, 1, 1, 0, 1): 6090
(1, 1, 1, 0, 0): 1039
(1, 1, 1, *, 1): 54879
(1, 1, 1, *, 0): 7467
(1, 1, 0, *, *): 8716
(1, 1, 0, 1, *): 7649
(1, 1, 0, 1, 1): 6562
(1, 1, 0, 1, 0): 1087
(1, 1, 0, 0, *): 1067
(1, 1, 0, *, 1): 7475
(1, 1, 0, *, 0): 1241
(1, 1, *, 1, *): 62866
(1, 1, *, 1, 1): 55351
(1, 1, *, 1, 0): 7515
(1, 1, *, 0, *): 8196
(1, 1, *, 0, 1): 7003
(1, 1, *, 0, 0): 1193
(1, 1, *, *, 1): 62354
(1, 1, *, *, 0): 8708
(1, 0, *, *, *): 15328
(1, 0, 1, *, *): 12971
(1, 0, 1, 1, *): 11166
(1, 0, 1, 1, 1): 9955
(1, 0, 1, 1, 0): 1211
(1, 0, 1, 0, *): 1805
(1, 0, 1, 0, 1): 1521
(1, 0, 1, *, 1): 11476
(1, 0, 1, *, 0): 1495
(1, 0, 0, *, *): 2357
(1, 0, 0, 1, *): 2019
(1, 0, 0, 1, 1): 1735
(1, 0, 0, *, 1): 2023
(1, 0, *, 1, *): 13185
(1, 0, *, 1, 1): 11690
(1, 0, *, 1, 0): 1495
(1, 0, *, 0, *): 2143
(1, 0, *, 0, 1): 1809
(1, 0, *, *, 1): 13499
(1, 0, *, *, 0): 1829
(1, *, 1, *, *): 75317
(1, *, 1, 1, *): 66383
(1, *, 1, 1, 1): 58744
(1, *, 1, 1, 0): 7639
(1, *, 1, 0, *): 8934
(1, *, 1, 0, 1): 7611
(1, *, 1, 0, 0): 1323
(1, *, 1, *, 1): 66355
(1, *, 1, *, 0): 8962
(1, *, 0, *, *): 11073
(1, *, 0, 1, *): 9668
(1, *, 0, 1, 1): 8297
(1, *, 0, 1, 0): 1371
(1, *, 0, 0, *): 1405
(1, *, 0, 0, 1): 1201
(1, *, 0, *, 1): 9498
(1, *, 0, *, 0): 1575
(1, *, *, 1, *): 76051
(1, *, *, 1, 1): 67041
(1, *, *, 1, 0): 9010
(1, *, *, 0, *): 10339
(1, *, *, 0, 1): 8812
(1, *, *, 0, 0): 1527
(1, *, *, *, 1): 75853
(1, *, *, *, 0): 10537
(0, *, *, *, *): 13610
(0, 1, *, *, *): 10827
(0, 1, 1, *, *): 9174
(0, 1, 1, 1, *): 7811
(0, 1, 1, 1, 1): 6872
(0, 1, 1, 0, *): 1363
(0, 1, 1, 0, 1): 1172
(0, 1, 1, *, 1): 8044
(0, 1, 1, *, 0): 1130
(0, 1, 0, *, *): 1653
(0, 1, 0, 1, *): 1384
(0, 1, 0, 1, 1): 1172
(0, 1, 0, *, 1): 1381
(0, 1, *, 1, *): 9195
(0, 1, *, 1, 1): 8044
(0, 1, *, 1, 0): 1151
(0, 1, *, 0, *): 1632
(0, 1, *, 0, 1): 1381
(0, 1, *, *, 1): 9425
(0, 1, *, *, 0): 1402
(0, 0, *, *, *): 2783
(0, 0, 1, *, *): 2257
(0, 0, 1, 1, *): 1871
(0, 0, 1, 1, 1): 1570
(0, 0, 1, *, 1): 1878
(0, 0, *, 1, *): 2312
(0, 0, *, 1, 1): 1932
(0, 0, *, *, 1): 2325
(0, *, 1, *, *): 11431
(0, *, 1, 1, *): 9682
(0, *, 1, 1, 1): 8442
(0, *, 1, 1, 0): 1240
(0, *, 1, 0, *): 1749
(0, *, 1, 0, 1): 1480
(0, *, 1, *, 1): 9922
(0, *, 1, *, 0): 1509
(0, *, 0, *, *): 2179
(0, *, 0, 1, *): 1825
(0, *, 0, 1, 1): 1534
(0, *, 0, *, 1): 1828
(0, *, *, 1, *): 11507
(0, *, *, 1, 1): 9976
(0, *, *, 1, 0): 1531
(0, *, *, 0, *): 2103
(0, *, *, 0, 1): 1774
(0, *, *, *, 1): 11750
(0, *, *, *, 0): 1860
(*, 1, *, *, *): 81889
(*, 1, 1, *, *): 71520
(*, 1, 1, 1, *): 63028
(*, 1, 1, 1, 1): 55661
(*, 1, 1, 1, 0): 7367
(*, 1, 1, 0, *): 8492
(*, 1, 1, 0, 1): 7262
(*, 1, 1, 0, 0): 1230
(*, 1, 1, *, 1): 62923
(*, 1, 1, *, 0): 8597
(*, 1, 0, *, *): 10369
(*, 1, 0, 1, *): 9033
(*, 1, 0, 1, 1): 7734
(*, 1, 0, 1, 0): 1299
(*, 1, 0, 0, *): 1336
(*, 1, 0, 0, 1): 1122
(*, 1, 0, *, 1): 8856
(*, 1, 0, *, 0): 1513
(*, 1, *, 1, *): 72061
(*, 1, *, 1, 1): 63395
(*, 1, *, 1, 0): 8666
(*, 1, *, 0, *): 9828
(*, 1, *, 0, 1): 8384
(*, 1, *, 0, 0): 1444
(*, 1, *, *, 1): 71779
(*, 1, *, *, 0): 10110
(*, 0, *, *, *): 18111
(*, 0, 1, *, *): 15228
(*, 0, 1, 1, *): 13037
(*, 0, 1, 1, 1): 11525
(*, 0, 1, 1, 0): 1512
(*, 0, 1, 0, *): 2191
(*, 0, 1, 0, 1): 1829
(*, 0, 1, *, 1): 13354
(*, 0, 1, *, 0): 1874
(*, 0, 0, *, *): 2883
(*, 0, 0, 1, *): 2460
(*, 0, 0, 1, 1): 2097
(*, 0, 0, *, 1): 2470
(*, 0, *, 1, *): 15497
(*, 0, *, 1, 1): 13622
(*, 0, *, 1, 0): 1875
(*, 0, *, 0, *): 2614
(*, 0, *, 0, 1): 2202
(*, 0, *, *, 1): 15824
(*, 0, *, *, 0): 2287
(*, *, 1, *, *): 86748
(*, *, 1, 1, *): 76065
(*, *, 1, 1, 1): 67186
(*, *, 1, 1, 0): 8879
(*, *, 1, 0, *): 10683
(*, *, 1, 0, 1): 9091
(*, *, 1, 0, 0): 1592
(*, *, 1, *, 1): 76277
(*, *, 1, *, 0): 10471
(*, *, 0, *, *): 13252
